x,y,token
-39.974922,20.05257,man
-40.95334,-15.572871,unexceptionable
-46.10073,-23.928812,character
-42.839108,-31.115671,easy
-42.40836,-18.467962,fortune
-41.27141,-15.911719,suitable
-35.06552,-19.282661,age
-24.803267,-18.53805,pleasant
-45.701523,-24.194561,manners
-24.165806,30.386477,there
-53.25924,-21.057365,satisfaction
-44.579533,-13.040814,considering
-40.46392,-17.594456,self
-38.458282,-22.376524,denying
-45.243443,-28.886055,generous
-48.895172,-23.586105,friendship
-25.136564,-27.9982,always
-50.515682,-31.75977,wished
-36.56132,-16.400667,promoted
-44.507,-32.005905,match
0.7669276,56.068417,black
-54.53984,2.5987306,morning
42.29954,15.424136,work
-20.163649,-42.163685,want
-21.636429,-48.1641,would
-23.414175,-30.826378,be
-43.077667,9.687595,felt
-52.215862,4.709109,hour
-40.969536,-2.2985656,recalled
-0.70685744,-12.794916,past
-50.946247,-20.960712,kindness
54.077644,21.5483,sixteen
-17.105188,-29.542606,how
40.497932,-14.501405,taught
-25.750648,-12.795991,played
53.77613,22.985413,five
-21.067745,34.974094,old
-39.91734,-22.00113,devoted
-41.913506,-19.809883,powers
-44.038906,-28.248545,attach
-35.367798,-16.484245,amuse
-40.46512,-18.332012,health
-26.759388,-21.723124,nursed
10.576652,49.26835,through
-24.245262,6.897083,various
-37.819065,-5.3898425,childhood
1.2497517,-18.417908,A
-18.160563,21.296553,large
-36.813717,-17.920847,debt
-52.09337,-20.689304,gratitude
-25.133448,-1.1327894,owing
-9.380595,-38.991478,here
-43.558758,-17.032187,intercourse
-33.611694,16.542313,last
53.141933,22.378033,seven
-43.739956,-25.275455,equal
-42.038334,-16.65451,footing
12.740389,-18.48415,perfect
-46.31605,-18.15133,unreserve
-57.338787,-13.429477,soon
47.46211,-6.0297527,followed
-58.079086,-3.7024245,Isabella
-4.72991,54.38187,their
-14.5840225,14.560384,each
-14.535929,14.494886,other
-18.740248,-15.623403,yet
-33.929653,-33.908165,dearer
-47.10782,7.277257,recollection
-52.375763,-15.454431,companion
-20.689144,-1.7757789,such
-45.456284,16.476347,few
42.03685,-12.930497,possessed
45.60771,-27.25264,:
-46.38901,-33.972374,intelligent
-52.000957,-8.1472,informed
-46.599876,-30.245699,useful
-36.09863,-28.375391,knowing
23.121231,-16.82718,ways
-46.482986,-29.712372,interested
0.22448948,34.449463,its
-49.840736,-17.540493,concerns
-45.245964,-22.049433,peculiarly
-53.427624,-21.298662,pleasure
-56.111282,-14.825769,scheme
-48.798473,-29.514109,hers
48.884975,-14.277794,whom
-21.718948,-48.2376,could
28.654295,-25.683023,speak
49.921482,-0.86820054,arose
-26.473984,-31.599337,never
-30.55907,-38.382446,find
-24.152397,-35.61531,fault
29.278202,-38.23198,How
23.028208,-24.333498,bear
-53.08268,-26.333557,change
-10.810424,-43.8753,?--
3.7675292,-42.312305,true
-17.198185,-26.086525,going
-49.458725,17.44844,half
-49.45669,17.466406,mile
-35.13512,24.414225,them
-39.409092,-31.810299,aware
-13.988188,29.53546,great
-20.592237,-47.229855,must
-42.422062,-25.544098,difference
-6.1416025,-1.0300696,between
-62.993233,-2.8235538,Mrs
-46.825043,-21.86545,advantages
-42.910522,-21.832195,natural
-45.780903,-21.528484,domestic
-45.494488,-17.310495,suffering
-25.230953,-3.749165,intellectual
-42.080887,-6.9312167,solitude
23.860548,-19.748148,dearly
5.821817,-49.689926,loved
-34.619877,23.81104,he
-34.621502,23.841585,He
0.8815014,-45.526733,meet
-55.40156,-21.924578,conversation
-44.398293,-24.961132,rational
-34.479652,3.47663,playful
28.313808,-13.531381,evil
-37.023956,2.735399,actual
-30.951656,-18.273455,disparity
10.431757,2.9783823,ages
-11.049762,-52.9618,(
-11.119772,-52.93579,)
-46.424538,-15.567696,increased
-44.861614,-18.921879,constitution
-46.42296,-21.705868,habits
12.900484,-19.111643,life
-33.751392,-14.381591,without
-42.59789,-14.141649,activity
-38.32445,-23.449959,mind
24.400976,0.60580397,body
-21.30731,-28.150522,older
-18.889418,-15.597655,though
-15.469706,1.1273009,everywhere
-37.334435,-11.072858,friendliness
21.766956,-8.837306,heart
-45.765594,-31.788433,amiable
46.80838,23.2293,talents
-45.151627,-14.861214,recommended
-35.07501,24.382814,him
-11.724874,-20.803679,time
-29.206394,7.3110795,comparatively
48.487217,1.3949343,removed
-32.507713,-34.4246,matrimony
-53.240044,-4.6640725,settled
-36.693844,10.157692,London
9.032439,58.66813,miles
-29.51183,51.853264,off
12.110654,12.43853,beyond
-34.670464,-21.978031,daily
-4.3272934,3.958614,reach
2.553097,-52.679806,October
2.5316703,-52.69321,November
-42.879997,13.134376,struggled
-55.251026,-4.771472,Hartfield
-17.987291,-32.95929,Christmas
-54.227448,1.2344354,next
-55.50434,-6.2835035,visit
59.79464,-19.532959,husband
45.907486,-0.61513877,children
33.925285,5.8247643,fill
25.950514,-30.103624,give
-45.643826,-21.296803,society
-30.022598,50.268703,again
-55.235867,-4.876142,Highbury
16.566324,39.056732,populous
-21.888206,11.872886,village
-21.061268,29.486876,almost
-54.41878,-1.920957,town
-49.400227,-16.625399,spite
-31.033638,-8.46679,separate
-29.166775,45.079037,lawn
-46.28174,-4.6124916,shrubberies
51.61414,-12.260109,name
-24.872175,-32.33131,really
-33.310837,-38.832394,belong
-49.09642,-18.489523,afforded
8.681432,-19.621033,equals
12.627666,0.72583765,All
-35.95911,35.16967,looked
-29.261164,49.8722,up
-49.92281,-19.078644,acquaintance
-34.368324,-15.853607,universally
-47.20959,-32.732014,civil
46.424942,1.6946062,among
-32.349186,-32.462452,accepted
-19.736649,-4.6833577,even
-44.474117,7.4997954,melancholy
-19.831587,-39.007378,sigh
-25.39029,-40.642666,wish
-42.42629,-30.31787,impossible
18.548458,-17.44333,things
-32.860912,17.608793,till
-45.24978,13.100489,awoke
-27.23037,14.719047,made
-42.37785,-30.08723,necessary
-55.020847,-18.021034,cheerful
6.1284885,-11.479333,His
-53.65662,-17.027987,spirits
-47.097946,-18.004827,required
-50.099415,-19.673632,support
-54.60913,-26.679619,nervous
-24.302843,-30.734188,easily
-22.635397,-9.509222,depressed
-21.105148,-24.30759,used
-2.0765476,-11.998554,hating
18.795816,14.336361,part
-34.230442,-18.215317,kind
-34.341644,-12.278956,origin
-35.14388,-31.934116,reconciled
59.87353,-19.346426,daughter
-46.36037,-27.146524,marrying
22.647535,-9.889362,nor
5.2230544,-17.570177,ever
-37.311153,-26.934067,compassion
-49.641552,-9.880839,entirely
-33.439625,23.90782,when
-51.227505,-33.325253,obliged
-47.238705,-19.792498,selfishness
-38.251595,-33.177532,able
-20.49512,-41.30609,suppose
-26.139118,-39.229424,feel
-28.231588,-40.312668,differently
-47.084896,-30.4876,disposed
-29.079727,-26.955261,done
-24.327229,-27.260067,sad
2.36697,-41.439808,thing
-25.512331,-34.609955,deal
-33.768265,-34.082783,happier
-22.926567,-40.370796,if
-53.276585,-6.16989,spent
7.9366117,-16.724958,rest
-47.53809,11.851673,smiled
-20.897913,-37.998074,cheerfully
32.446804,-26.648962,keep
14.111072,-20.291897,thoughts
-56.716785,3.2316568,tea
-12.034895,-39.90437,say
-24.252056,-29.659977,exactly
-44.255646,27.06532,said
-44.0092,29.616642,""""
-6.092442,-42.851772,Poor
-10.540431,-44.468098,!--
29.308905,-38.158737,What
-25.672968,-39.981277,pity
-19.076128,-30.082472,is
-10.0064535,-45.236465,"!"""
-20.5829,-47.227966,cannot
-21.415144,-40.82768,agree
-11.243518,-38.509045,you
-18.47973,-42.935844,papa
-21.096825,-41.72501,know
-13.378135,-34.50659,good
-46.990746,-36.02154,humoured
-47.75374,-30.651144,thoroughly
-20.604813,-35.47431,deserves
59.813026,-19.409883,wife
-48.65498,-29.34341,;--
23.16554,-26.047445,live
0.5912745,-41.941597,us
-10.092576,-37.847248,my
-45.52153,22.46515,odd
-22.629614,-21.52946,humours
-21.52738,-48.06302,might
-11.7553005,-43.802147,"?"""
2.0526054,-23.9019,But
-23.364822,31.862024,where
-49.744476,-23.714262,advantage
-11.738627,-43.862766,?
1.2602351,-18.516771,This
53.462475,23.965464,three
14.534464,11.489344,times
2.0625327,-23.904675,And
-5.7772126,-45.293865,dear
-12.917842,-42.59556,"."""
-23.684431,-5.3808355,often
-0.6420617,-42.26721,we
-19.762001,-46.5822,shall
-10.529391,-39.34512,see
-17.1518,-25.96697,coming
-0.619172,-42.285797,We
-53.655025,-3.3124602,meeting
-9.98475,-45.260044,!
-16.827858,-33.47278,begin
-16.03244,-31.300774,go
-25.555384,-36.746796,pay
27.03084,-42.501923,My
-14.08004,-45.429024,am
-16.029947,-31.284248,get
-7.5382943,36.208706,far
-55.011463,-4.63584,Randalls
2.975779,35.72088,distance
32.5254,-26.84392,walk
-7.2641883,-42.366817,No
-22.445795,-39.29329,nobody
-10.330824,-38.099033,your
-25.993841,35.565994,walking
-52.782055,-3.6835177,carriage
-25.470514,-45.17635,sure
56.302284,-11.622291,James
-19.705635,-46.450542,will
